cidade,uf,servico,valor_mensal,capacidade_mb,vigencia_meses,ip_fixo,interface
Maceio / Al (Mco),AL,IP BANDA LARGA,90.0,100,0,0,FIBRA
Tabatinga,AM,IP BANDA LARGA,130.0,50,60,,FIBRA
Benjamin Constant,AM,IP BANDA LARGA,130.0,50,60,,FIBRA
Sao Gabriel Da Cachoeira,AM,IP BANDA LARGA,130.0,50,60,,FIBRA
Sao Gabriel Da Cachoeira,AM,IP BANDA LARGA,130.0,50,60,,FIBRA
Itanhandu / Mg (Itd),MG,IP DEDICADO,300.0,10,0,0,FIBRA
Sao Lourenco / Mg (Sal),MG,IP DEDICADO,300.0,10,0,0,FIBRA
Espera Feliz / Mg (Eef),MG,IP BANDA LARGA,200.0,100,0,0,FIBRA
Itupeva,SP,IP DEDICADO,950.0,100,36,30,RÃDIO
Faxinal Do Soturno,RS,IP DEDICADO,600.0,50,36,30,FIBRA
Faxinal Do Soturno,RS,IP DEDICADO,600.0,50,36,30,FIBRA
Manaus,AM,IP DEDICADO,600.0,100,12,/30,FIBRA
Americana / Sp (Amr),SP,IP DEDICADO,590.0,10,0,30,RÃDIO
Osasco,SP,IP BANDA LARGA,99.99,400,12,,FIBRA
Rio Largo,AL,IP DEDICADO,750.0,100,36,29,FIBRA
Rio Largo,AL,IP DEDICADO,0.0,100,36,29,FIBRA
Encruzilhada Do Sul / Rs (Esl),RS,IP BANDA LARGA,250.0,200,0,0,FIBRA
Ponta Pora,MS,L2L LAST MILE,0.01,100,36,,FIBRA
Ponta Pora,MS,L2L LAST MILE,350.0,100,36,,FIBRA
Guarani / Mg (Gni),MG,IP BANDA LARGA,200.0,100,0,0,FIBRA
Sao Paulo,SP,IP BANDA LARGA,79.9,400,12,,FIBRA
Porto Alegre,RS,L2L LAST MILE,399.0,100,12,,FIBRA
Cambui / Mg (Cbi),MG,IP DEDICADO,130.0,12,0,0,FIBRA
Sabara,MG,IP DEDICADO,720.0,52,36,/30,FIBRA
Brasalia,DF,IP DEDICADO,500.0,25,12,30,FIBRA
Curitiba,PR,L2L LAST MILE,0.01,300,36,,FIBRA
Curitiba,PR,L2L LAST MILE,0.01,300,36,,FIBRA
Curitiba,PR,L2L LAST MILE,0.01,300,36,,FIBRA
Curitiba,PR,L2L LAST MILE,0.01,300,36,,FIBRA
Curitiba,PR,L2L LAST MILE,0.01,300,36,,FIBRA
Curitiba,PR,L2L LAST MILE,0.01,300,36,,FIBRA
Curitiba,PR,L2L LAST MILE,0.01,300,36,,FIBRA
Curitiba,PR,L2L LAST MILE,0.01,300,36,,FIBRA
Curitiba,PR,L2L LAST MILE,0.01,300,36,,FIBRA
Curitiba,PR,L2L LAST MILE,0.01,300,36,,FIBRA
Duque De Caxias / Rj (Dqx),RJ,L2L LAST MILE,0.01,300,12,,FIBRA
Cruzeiro Do Oeste,PR,L2L LAST MILE,300.0,100,12,,FIBRA
Brasalia,DF,IP BANDA LARGA,100.29,600,12,,FIBRA
Sao Paulo,SP,IP DEDICADO,400.0,55,24,30,FIBRA
Inhapim / Mg (Inp),MG,IP BANDA LARGA,120.0,100,0,0,FIBRA
Sao Joao Nepomuceno / Mg (Sjn),MG,IP DEDICADO,470.0,110,0,0,FIBRA
Ituiutaba / Mg (Iua),MG,IP DEDICADO,200.0,10,0,0,FIBRA
Santa Vitoria / Mg (Stv),MG,IP DEDICADO,200.0,10,0,0,FIBRA
Ituiutaba / Mg (Iua),MG,IP DEDICADO,250.0,15,0,0,FIBRA
Unistalda,RS,IP BANDA LARGA,140.0,100,12,32,FIBRA
Unistalda,RS,IP BANDA LARGA,140.0,100,12,32,FIBRA
Unistalda,RS,IP BANDA LARGA,140.0,100,12,32,FIBRA
Unistalda,RS,IP BANDA LARGA,140.0,100,12,32,FIBRA
Contagem,MG,IP DEDICADO,590.0,50,36,30,FIBRA
Sao Luas,MA,IP DEDICADO,940.0,100,36,30,FIBRA
,,L2L LAST MILE,0.01,50,36,,FIBRA
Sao Paulo,SP,IP DEDICADO,0.0,100,36,29,FIBRA
Sao Paulo,SP,IP DEDICADO,0.0,100,36,29,FIBRA
Guarulhos,SP,IP DEDICADO,0.0,100,36,29,FIBRA
Ribas Do Rio Pardo,MS,L2L LAST MILE,700.0,50,36,,FIBRA
Rio De Janeiro / Rj (Rjo),RJ,IP DEDICADO,900.0,100,12,0,RÃDIO
Lima Duarte / Mg (Lad),MG,IP DEDICADO,290.0,10,0,0,FIBRA
,,IP BANDA LARGA,184.9,0,0,30,
,,IP BANDA LARGA,184.9,0,0,30,
,,IP BANDA LARGA,184.9,0,0,30,
,,IP BANDA LARGA,184.9,0,0,30,
Guanhaes / Mg (Ghe),MG,IP DEDICADO,299.9,10,0,0,FIBRA
Xanxeraa,SC,L2L  LAST MILE,0.01,50,36,,FIBRA
Petra3Polis,RJ,IP DEDICADO,0.0,102,36,30,RÃDIO
Itapolis / Sp (Ial),SP,IP DEDICADO,280.0,30,0,0,FIBRA
Sao Paulo,SP,IP DEDICADO,0.0,300,12,30,FIBRA
Rio De Janeiro,RJ,IP DEDICADO,600.0,20,12,32,FIBRA
Guaaba,RS,IP DEDICADO,899.99,100,36,30,FIBRA
Redencao / Pa (Rdo),PA,IP DEDICADO,550.0,30,0,30,FIBRA
Piumhi / Mg (Piu),MG,IP DEDICADO,180.0,12,0,30,FIBRA
Maceio / Al (Mco),AL,IP DEDICADO,475.0,50,0,na,FIBRA
Florianopolis / Sc (Fns),SC,IP DEDICADO,200.0,12,0,0,FIBRA
Florianopolis / Sc (Fns),SC,IP DEDICADO,200.0,12,0,0,FIBRA
Tijucas,SC,L2L LAST MILE,0.01,30,12,,FIBRA
Sao Cristovao,SE,IP BANDA LARGA,100.0,50,60,,FIBRA
Sao Paulo / Sp (Spo),SP,IP BANDA LARGA,90.0,100,0,0,FIBRA
Belo Horizonte / Mg (Bhe),MG,IP BANDA LARGA,90.0,100,0,0,FIBRA
Mata De Sao Joao,BA,IP BANDA LARGA,97.27,10,60,,FIBRA
Rio De Janeiro,RJ,IP DEDICADO,240.55,10,60,,FIBRA
Joao Pessoa,PB,IP BANDA LARGA,250.0,50,60,,FIBRA
Joao Pessoa,PB,IP BANDA LARGA,250.0,50,60,,FIBRA
Joao Pessoa / Pb (Jpa),PB,IP BANDA LARGA,100.96,10,0,0,FIBRA
Joao Pessoa,PB,IP BANDA LARGA,200.0,50,60,,FIBRA
Joao Pessoa / Pb (Jpa),PB,IP BANDA LARGA,90.0,100,0,0,FIBRA
Uberlandia / Mg (Ula),MG,IP DEDICADO,300.0,15,0,0,FIBRA
Uberaba / Mg (Ura),MG,IP DEDICADO,280.0,10,0,0,FIBRA
Uberlandia / Mg (Ula),MG,IP DEDICADO,280.0,10,0,0,FIBRA
Sao Paulo,SP,IP BANDA LARGA,290.0,50,60,,FIBRA
Sao Paulo,SP,IP BANDA LARGA,290.0,50,60,,FIBRA
Sao Paulo,SP,IP BANDA LARGA,290.0,50,60,,FIBRA
Sao Paulo,SP,IP BANDA LARGA,290.0,50,60,,FIBRA
Sao Paulo,SP,IP BANDA LARGA,290.0,50,60,,FIBRA
Sao Paulo,SP,IP BANDA LARGA,290.0,50,60,,FIBRA
Sao Paulo,SP,IP BANDA LARGA,290.0,50,60,,FIBRA
Sao Josa Dos Campos,SP,IP BANDA LARGA,290.0,50,60,,FIBRA
Ferraz De Vasconcelos,SP,IP BANDA LARGA,290.0,50,60,,FIBRA
Sao Paulo,SP,IP BANDA LARGA,290.0,50,60,,FIBRA
Franco Da Rocha,SP,IP BANDA LARGA,290.0,50,60,,FIBRA
Sao Paulo,SP,IP BANDA LARGA,290.0,50,60,,FIBRA
Sao Paulo,SP,IP BANDA LARGA,290.0,50,60,,FIBRA
Sao Paulo,SP,IP BANDA LARGA,290.0,50,60,,FIBRA
Sao Paulo,SP,IP BANDA LARGA,290.0,50,60,,FIBRA
Sao Paulo,SP,IP BANDA LARGA,290.0,50,60,,FIBRA
Pirajuba / Mg (Prj),MG,IP DEDICADO,700.0,10,0,0,FIBRA
Sao Paulo,SP,IP BANDA LARGA,125.0,200,60,,FIBRA
Sao Paulo,SP,IP BANDA LARGA,125.0,50,60,,FIBRA
Cruzeiro Do Oeste,PR,L2L  LAST MILE,0.01,100,12,na,FIBRA
Sete Lagoas / Mg (Sla),MG,IP DEDICADO,550.0,12,0,30,FIBRA
Sete Lagoas / Mg (Sla),MG,IP DEDICADO,550.0,12,0,30,FIBRA
Joao Pessoa / Pb (Jpa),PB,IP DEDICADO,600.0,32,0,0,FIBRA
,,L2L LAST MILE,635.0,0,24,,
Uberlandia / Mg (Ula),MG,IP DEDICADO,280.0,10,0,0,FIBRA
Uberlandia / Mg (Ula),MG,IP DEDICADO,280.0,10,0,0,FIBRA
Uberaba / Mg (Ura),MG,IP DEDICADO,300.0,15,0,0,FIBRA
,,L2L  LAST MILE,500.0,0,24,,
Araguatins / To (Agn),TO,IP BANDA LARGA,109.9,450,0,0,FIBRA
Campo Grande,MS,L2L LAST MILE,0.01,300,36,,FIBRA
,,L2L  LAST MILE,0.01,52,12,,FIBRA
Sao Luas,MA,IP DEDICADO,500.0,50,12,30,FIBRA
Castro / Pr (Cat),PR,IP DEDICADO,0.0,155,0,30,FIBRA
Caldas / Mg (Cad),MG,IP DEDICADO,300.0,10,0,0,FIBRA
Vazante / Mg (Vze),MG,IP DEDICADO,300.0,10,0,0,FIBRA
Araguari / Mg (Ari),MG,IP BANDA LARGA,119.8,100,0,0,FIBRA
Caete,MG,IP DEDICADO,550.0,50,36,30,FIBRA
Brasalia,DF,IP DEDICADO,0.0,100,36,29,FIBRA
Itupeva,SP,IP DEDICADO,400.0,50,24,30,FIBRA
Indianopolis / Mg (Ido),MG,IP DEDICADO,0.0,50,0,0,RÃDIO
Rio De Janeiro,RJ,IP DEDICADO,650.0,52,12,30,FIBRA
Rio De Janeiro,RJ,IP DEDICADO,650.0,70,12,30,FIBRA
Sao Sebastiao Do Paraiso / Mg (Ssp),MG,IP BANDA LARGA,124.9,100,0,0,FIBRA
Rio Casca / Mg (Rca),MG,IP BANDA LARGA,209.9,100,0,30,FIBRA
Montes Claros,MG,IP DEDICADO,840.0,100,36,29,FIBRA
Sao Paulo,SP,IP DEDICADO,0.0,2,36,29,FIBRA
Salvador,BA,IP DEDICADO,190.0,50,60,,FIBRA
Salvador,BA,IP DEDICADO,190.0,50,60,,FIBRA
Salvador,BA,IP DEDICADO,190.0,50,60,,FIBRA
Salvador,BA,IP DEDICADO,190.0,50,60,,FIBRA
Salvador,BA,IP DEDICADO,190.0,50,60,,FIBRA
Salvador,BA,IP DEDICADO,190.0,50,60,,FIBRA
Salvador,BA,IP DEDICADO,190.0,50,60,,FIBRA
Salvador,BA,IP DEDICADO,190.0,50,60,,FIBRA
Lauro De Freitas,BA,IP DEDICADO,190.0,50,60,,FIBRA
Timoteo / Mg (Tto),MG,IP BANDA LARGA,139.9,100,0,30,FIBRA
Campina Grande,PB,IP DEDICADO,700.0,52,36,29,FIBRA
Triunfo,RS,IP DEDICADO,0.0,100,36,30,FIBRA
Recife,PE,IP BANDA LARGA,210.0,50,60,,FIBRA
Recife,PE,IP BANDA LARGA,210.0,50,60,,FIBRA
Recife,PE,IP BANDA LARGA,210.0,50,60,,FIBRA
Recife,PE,IP BANDA LARGA,210.0,50,60,,FIBRA
Recife,PE,IP BANDA LARGA,210.0,50,60,,FIBRA
Recife,PE,IP BANDA LARGA,210.0,50,60,,FIBRA
Recife,PE,IP BANDA LARGA,210.0,50,60,,FIBRA
Paulista,PE,IP BANDA LARGA,210.0,50,60,,FIBRA
Recife / Pe (Rce),PE,IP BANDA LARGA,100.96,10,0,0,FIBRA
Recife / Pe (Rce),PE,IP BANDA LARGA,100.96,10,0,0,FIBRA
Recife,PE,IP BANDA LARGA,147.0,50,60,,FIBRA
Recife,PE,IP BANDA LARGA,220.0,50,60,,FIBRA
Paulista,PE,IP BANDA LARGA,200.0,50,60,,FIBRA
Recife,PE,IP BANDA LARGA,200.0,50,60,,FIBRA
Recife,PE,IP BANDA LARGA,200.0,50,60,,FIBRA
Recife,PE,IP BANDA LARGA,200.0,50,60,,FIBRA
Rio Largo,AL,IP DEDICADO,0.0,100,36,29,FIBRA
Pirassununga / Sp (Pag),SP,IP DEDICADO,180.0,12,0,0,FIBRA
Brasalia,DF,L2L LAST MILE,800.0,102,12,,FIBRA
Fronteira / Mg (Fea),MG,IP DEDICADO,190.0,10,0,30,FIBRA
Cruzeiro Do Sul,AC,IP DEDICADO,0.0,110,36,29,FIBRA
Belo Horizonte,MG,L2L LAST MILE | L2L  LAST MILE | IP DEDICADO,366.6,52,36,,FIBRA
Belo Horizonte,MG,L2L LAST MILE | L2L  LAST MILE | IP DEDICADO,366.6,52,36,,FIBRA
Belo Horizonte/,MG,L2L LAST MILE | L2L  LAST MILE | IP DEDICADO,366.6,52,36,,FIBRA
Belo Horizonte,MG,L2L  LAST MILE | IP DEDICADO,366.6,52,36,,FIBRA
Caarapo / Ms (Crp),MS,IP DEDICADO,200.0,10,0,0,FIBRA
Amambai / Ms (Amb),MS,IP DEDICADO,200.0,10,0,0,FIBRA
