Nome Provedor,IP Fixo,Valor Mensal (C/IMP) (R$),Serviço,Cliente Final,Vigência em (Meses),Cidade A,UF A,Interface,Capacidade (MB)
S & M NACIONAL TELECOM LTDA,,396.00,IP DEDICADO,PRF,0,PORTO VELHO / RO (PVO),RO,FIBRA,10
FAMATEL TELECOMUNICACOES LTDA,,400.00,IP DEDICADO,PRF,0,PORTO VITORIA / PR (PRV),PR,FIBRA,10
SUL DIGITAL TELECOM LTDA.,,400.00,IP DEDICADO,PRF,0,CASCAVEL / PR (CSC),PR,FIBRA,10
CONNECT FIBRA SERVICOS DE TELECOMUNICACAO LTDA,,390.00,IP DEDICADO,PRF,0,SAO JOSE DO BELMONTE / PE (SDB),PE,FIBRA,10
,,250.00,IP DEDICADO,PRF,0,RECIFE / PE (RCE),PE,FIBRA,10
CONNECT FIBRA SERVICOS DE TELECOMUNICACAO LTDA,,350.00,IP DEDICADO,PRF,0,RECIFE / PE (RCE),PE,FIBRA,10
STAMP PROVEDOR SERVICOS DE COMUNICACAO LTDA,,350.00,IP DEDICADO,PRF,0,HUMAITA / AM (HUT),AM,FIBRA,10
MEGALINK,,300.00,IP DEDICADO,PRF,0,CAMPINA GRANDE DO SUL / PR (CKG),PR,FIBRA,10
VPN INFRAESTRUTURA DE REDES LTDA,,550.00,IP DEDICADO,DIRECIONAL,0,BRASILIA / DF (BSA),DF,FIBRA,25
MANALINK PROVEDOR DE INTERNET LTDA,,639.90,IP DEDICADO,JSL,0,CUBATAO / SP (CAO),SP,FIBRA,50
ABS TELECOMUNICACOES LTDA,,359.90,IP BANDA LARGA,CAIXA ECONOMICA FEDERAL,0,VILA RICA / MT (VAR),MT,FIBRA,200
R. ALECIO SACHETTI & CIA LTDA,,280.00,IP BANDA LARGA,MP/MT,0,PORTO DOS GAUCHOS / MT (POH),MT,FIBRA,100
SPEEDNET TELECOMUNICACAO LTDA,,900.00,IP DEDICADO,SHOPEE,0,BETIM / MG (BET),MG,FIBRA,110
LUCELIA PATRICIA ESCAJADILLO DE LA TORRE - ME,,600.00,IP DEDICADO,DHL SANOFI EXTREMA,0,EXTREMA / MG (EXM),MG,FIBRA,30
CLARICE LOQUETI MAIA & CIA LTDA,,500.00,IP DEDICADO,CAIXA ECONOMICA FEDERAL,0,SAO JOSE DO RIO CLARO / MT (SJK),MT,FIBRA,20
LEVE INTERNET E REDES DE TELECOMUNICACOES LTDA,n/a,755.00,IP DEDICADO,CAIXA ECONOMICA FEDERAL,0,UNAI / MG (UNI),MG,FIBRA,35
INFORR - SOLUCOES EM TECNOLOGIA,,299.90,IP DEDICADO,CAIXA ECONOMICA FEDERAL,0,CARACARAI / RR (CKR),RR,FIBRA,50
VPN INFRAESTRUTURA DE REDES LTDA,,806.00,IP DEDICADO,DIRECIONAL,0,BRASILIA / DF (BSA),DF,FIBRA,110
AKTO TECNOLOGIA LTDA,,750.00,IP DEDICADO,DIRECIONAL,0,MANAUS / AM (MNS),AM,FIBRA,100
JS TELECOM LTDA,,550.00,IP DEDICADO,CAIXA ECONOMICA FEDERAL,0,REDENCAO / PA (RDO),PA,FIBRA,30
SOFT TELECOM SERVICOS DE TELECOMUNICACOES LTDA,,540.00,IP DEDICADO,CAIXA ECONOMICA FEDERAL,0,ORIXIMINA / PA (OXA),PA,FIBRA,12
CONECTA MINAS GERAIS LTDA,,550.00,IP DEDICADO,CAIXA ECONOMICA FEDERAL,1,BARBACENA / MG (BCA),MG,FIBRA,12
CORPORATIVA FIBER LTDA.,,550.00,IP DEDICADO,CAIXA ECONOMICA FEDERAL,0,SAO JOSE DA LAPA / MG (SJLP),MG,FIBRA,12
CORPORATIVA FIBER LTDA.,,550.00,IP DEDICADO,CAIXA ECONOMICA FEDERAL,0,SARZEDO / MG (SRZE),MG,FIBRA,12
CORPORATIVA FIBER LTDA.,,550.00,IP DEDICADO,CAIXA ECONOMICA FEDERAL,0,SETE LAGOAS / MG (SLA),MG,FIBRA,12
CORPORATIVA FIBER LTDA.,,550.00,IP DEDICADO,CAIXA ECONOMICA FEDERAL,0,OURO PRETO / MG (ORP),MG,FIBRA,12
CORPORATIVA FIBER LTDA.,,550.00,IP DEDICADO,CAIXA ECONOMICA FEDERAL,0,BETIM / MG (BET),MG,FIBRA,12
CORPORATIVA FIBER LTDA.,,550.00,IP DEDICADO,CAIXA ECONOMICA FEDERAL,0,MACHADO / MG (MCD),MG,FIBRA,12
CORPORATIVA FIBER LTDA.,,550.00,IP DEDICADO,CAIXA ECONOMICA FEDERAL,0,OURO PRETO / MG (ORP),MG,FIBRA,12
DEBIAN SIGNAL COMUNICACAO MULTIMIDIA LTDA,,570.00,IP DEDICADO,JSL,0,GUARATINGUETA / SP (GTA),SP,FIBRA,35
WIRELINK,,590.00,IP DEDICADO,JSL,0,RIBEIRAO PRETO / SP (RPO),SP,FIBRA,60
MAXCABO TELECOMUNICACOES LTDA,,400.00,IP DEDICADO,PANVEL,0,SARANDI / PR (SWW),PR,FIBRA,32
ELEA DIGITAL INFRAESTRUTURA E REDES DE TELECOMUNICACOES S.A. - RS - POA1,,500.00,GOLDEN JUMPER,PANVEL,0,PORTO ALEGRE / RS (PAE),RS,,
NETPAL TELECOM LTDA,,280.00,IP DEDICADO,SETUP,0,PORTO ALEGRE / RS (PAE),RS,FIBRA,12
RENATO RODRIGUES RUFATTO,,270.00,IP BANDA LARGA,MPMT,0,PORTO DOS GAUCHOS / MT (POH),MT,FIBRA,100
BRFIBRA TELECOMUNICAÇÕES LTDA,,1.250.00,L2L LAST MILE,ALLIANCE ONE BRASIL EXPORT DE TAB LTDA,0,CANOINHAS / SC (CNI),SC,FIBRA,30
RRM TELECOM LTDA,,900.00,IP DEDICADO,ALLIANCE ONE BRASIL EXPORT DE TAB LTDA,0,PASSO DO SOBRADO / RS (PSSO),RS,FIBRA,60
GLP TELEC LTDA/98470-000 Planalto,,150.00,IP DEDICADO,OI SA EM RECUPERACAO JUDICIAL,0,PLANALTO / RS (PNO),RS,FIBRA,25
NET JACAREI TELECON LTDA,,690.00,IP DEDICADO,JSL,0,JACAREI / SP (JCI),SP,FIBRA,100
MAGNOS A BOTH & CIA LTDA,,200.00,IP DEDICADO,OI SA EM RECUPERACAO JUDICIAL,0,ALECRIM / RS (AEM),RS,FIBRA,25
COMPUNET DO BRASIL TELECOM LTDA,,450.00,IP DEDICADO,ORIGINAL TOKYO,0,SAO JOSE DOS CAMPOS / SP (SJC),SP,FIBRA,32
COMPUNET DO BRASIL TELECOM LTDA,,450.00,IP DEDICADO,ORIGINAL TOKYO,0,TAUBATE / SP (TTE),SP,FIBRA,32
TUBARON TECNOLOGIAS LTDA,,200.00,L2L LAST MILE,OI SA EM RECUPERACAO JUDICIAL,0,ARROIO DOS RATOS / RS (ADR),RS,FIBRA,22
UPIX NETWORKS TELECOMUNICACOES LTDA,,450.00,IP DEDICADO,UNITED AUTO NAGOYA,0,GUARULHOS / SP (GRS),SP,FIBRA,32
CTINET SOLUCOES EM CONECTIVIDADE E INFORMATICA LTDA,,500.00,IP DEDICADO,UNITED AUTO NAGOYA,0,SAO BERNARDO DO CAMPO / SP (SBO),SP,FIBRA,30
CTINET SOLUCOES EM CONECTIVIDADE E INFORMATICA LTDA,,500.00,IP DEDICADO,UNITED AUTO NAGOYA,0,SANTO ANDRE / SP (SNE),SP,FIBRA,30
CTINET SOLUCOES EM CONECTIVIDADE E INFORMATICA LTDA,,500.00,IP DEDICADO,UNITED AUTO NAGOYA,0,GUARULHOS / SP (GRS),SP,FIBRA,30
ELO SOLUCOES EMPRESARIAIS LTDA,,1.000.00,IP DEDICADO,MERCADO LIVRE,0,JUIZ DE FORA / MG (JFA),MG,RÁDIO,55
SETTE TELECOM LTDA,,179.90,IP BANDA LARGA,CAIXA ECONOMICA FEDERAL,0,ABADIANIA / GO (ABI),GO,FIBRA,200
STONE TELECOMUNICACOES LTDA,,500.00,IP DEDICADO,CEVA LOGISTICS LTDA,0,ITAPEVA / MG (IAV),MG,FIBRA,12
ACESSOLINE TELECOMUNICACOES LTDA,,850.00,L2L LAST MILE,WIRELESS COMM SERVICES LTDA,0,BLUMENAU / SC (BNU),SC,FIBRA,105
WMATERA TELECOM,,200.00,IP DEDICADO,OI SA EM RECUPERACAO JUDICIAL,0,DOURADINA / PR (DUI),PR,FIBRA,25
PLUSCOM TELEC LTDA,,500.00,IP DEDICADO,MERCADO LIVRE,0,SAO JOSE DO RIO PRETO / SP (SRR),SP,FIBRA,100
BRMOM CONSTRUINDO CONEXOES LTDA,,490.00,IP BANDA LARGA,SENCINET,0,PASSO FUNDO / RS (PAS),RS,FIBRA,105
SUL ONLINE TELECOM LTDA,,2.000.00,IP DEDICADO,ALLIANCE ONE,0,ARARANGUA / SC (ARU),SC,FIBRA,70
LIGGA TELECOMUNICACOES S.A.,,652.85,L2L LAST MILE,ALLIANCE ONE BRASIL EXPORT DE TAB LTDA,0,RIO AZUL / PR (RZL),PR,FIBRA,30
GO! TELECOM,,550.00,IP DEDICADO,DIRECIONAL,0,DUQUE DE CAXIAS / RJ (DQX),RJ,FIBRA,22
ICONECT,,120.00,IP BANDA LARGA,DIRECIONAL,0,CAMACARI / BA (CAR),BA,FIBRA,100
SITELBRA SISTEMA DE TELECOMUNICACOES DO BRASIL LTDA,,850.00,IP DEDICADO,CAIXA ECONOMICA FEDERAL,0,BRASILIA / DF (BSA),DF,FIBRA,35
AMANDA GONZALES CIRELLI,,590.00,IP DEDICADO,CAIXA ECONOMICA FEDERAL,0,RIBEIRAO DAS NEVES / MG (RNS),MG,FIBRA,12
AMANDA GONZALES CIRELLI,,590.00,IP DEDICADO,CAIXA ECONOMICA FEDERAL,0,MURIAE / MG (MRE),MG,FIBRA,12
AMANDA GONZALES CIRELLI,,590.00,IP DEDICADO,CAIXA ECONOMICA FEDERAL,0,TRES MARIAS / MG (TMS),MG,FIBRA,12
AMANDA GONZALES CIRELLI,,590.00,IP DEDICADO,CAIXA ECONOMICA FEDERAL,0,UBA / MG (UBA),MG,FIBRA,12
AMANDA GONZALES CIRELLI,,590.00,IP DEDICADO,CAIXA ECONOMICA FEDERAL,0,TEOFILO OTONI / MG (TOT),MG,FIBRA,12
AMANDA GONZALES CIRELLI,,590.00,IP DEDICADO,CAIXA ECONOMICA FEDERAL,0,RIBEIRAO DAS NEVES / MG (RNS),MG,FIBRA,12
AMANDA GONZALES CIRELLI,,590.00,IP DEDICADO,CAIXA ECONOMICA FEDERAL,0,SAO JOAQUIM DE BICAS / MG (SJBI),MG,FIBRA,12
AMANDA GONZALES CIRELLI,,590.00,IP DEDICADO,CAIXA ECONOMICA FEDERAL,0,VARZEA DA PALMA / MG (VZP),MG,FIBRA,12
AMANDA GONZALES CIRELLI,,590.00,IP DEDICADO,CAIXA ECONOMICA FEDERAL,0,CAMPOS GERAIS / MG (CPG),MG,FIBRA,12
AMANDA GONZALES CIRELLI,,590.00,IP DEDICADO,CAIXA ECONOMICA FEDERAL,0,GOVERNADOR VALADARES / MG (GVS),MG,FIBRA,12
AMANDA GONZALES CIRELLI,,590.00,IP DEDICADO,CAIXA ECONOMICA FEDERAL,0,LUZ / MG (LUZ),MG,FIBRA,12
AMANDA GONZALES CIRELLI,,590.00,IP DEDICADO,CAIXA ECONOMICA FEDERAL,0,MATEUS LEME / MG (MAL),MG,FIBRA,12
AMANDA GONZALES CIRELLI,,590.00,IP DEDICADO,CAIXA ECONOMICA FEDERAL,0,SAO JOAO NEPOMUCENO / MG (SJN),MG,FIBRA,12
AMANDA GONZALES CIRELLI,,590.00,IP DEDICADO,CAIXA ECONOMICA FEDERAL,0,MACAPA / AP (MPA),AP,FIBRA,32
CMTV TECNOLOGIA LTDA,,350.00,IP DEDICADO,SHOPEE,0,CAMBE / PR (CAB),PR,FIBRA,50
MUNDIAL NET TELECOM LTDA,,550.00,IP DEDICADO,CAIXA ECONOMICA FEDERAL,0,BREU BRANCO / PA (BUBO),PA,FIBRA,12
5 GNETT,,400.00,IP DEDICADO,CAIXA ECONOMICA FEDERAL,0,CAXAMBU / MG (CAX),MG,FIBRA,12
INFOTEL ENGENHARIA & TELECOMUNICACOES SCM LTDA,,640.00,IP DEDICADO,CAIXA ECONOMICA FEDERAL,0,PALMAS / TO (PMJ),TO,FIBRA,35
INFOTEL ENGENHARIA & TELECOMUNICACOES SCM LTDA,,640.00,IP DEDICADO,CAIXA ECONOMICA FEDERAL,0,PALMAS / TO (PMJ),TO,FIBRA,35
INFOTEL ENGENHARIA & TELECOMUNICACOES SCM LTDA,,640.00,IP DEDICADO,CAIXA ECONOMICA FEDERAL,0,PALMAS / TO (PMJ),TO,FIBRA,35
NETBOX INTERNET LTDA,fixo,640.00,IP DEDICADO,CAIXA ECONOMICA FEDERAL,0,GURUPI / TO (GUR),TO,FIBRA,35
BRFIBRA TELECOMUNICAÇÕES LTDA,,250.00,L2L LAST MILE,USINA TERMELETRICA PAMPA SUL SA,0,FLORIANOPOLIS / SC (FNS),SC,FIBRA,10
VIP NET PROVEDOR DE INTERNET LTDA,,269.90,IP BANDA LARGA,CAIXA ECONOMICA FEDERAL,0,SAPEZAL / MT (SPZL),MT,FIBRA,200
LIFE IN,,280.00,IP BANDA LARGA,CAIXA ECONOMICA FEDERAL,0,FIRMINOPOLIS / GO (FIS),GO,FIBRA,300
GIGA NET TELECOMUNICACOES LTDA,,350.00,IP BANDA LARGA,CAIXA ECONOMICA FEDERAL,0,CAMPO GRANDE / MS (CPE),MS,FIBRA,400
GIGA NET TELECOMUNICACOES LTDA,,350.00,IP BANDA LARGA,CAIXA ECONOMICA FEDERAL,0,CAMPO GRANDE / MS (CPE),MS,FIBRA,400
M & M TELECOMUNICACOES E MULTIMIDIA LTDA,,145.00,IP BANDA LARGA,CAIXA ECONOMICA FEDERAL,0,ALEXANIA / GO (ALX),GO,FIBRA,200
CYBER INTERNET LTDA,,450.00,IP BANDA LARGA,CAIXA ECONOMICA FEDERAL,0,BELA VISTA DE GOIAS / GO (BGS),GO,FIBRA,500
CONEX INTERNET,,300.00,IP DEDICADO,CAIXA ECONOMICA FEDERAL,0,BURITIS / MG (BII),MG,FIBRA,100
ALLREDE PARTICIPACOES LTDA,,189.90,IP BANDA LARGA,CAIXA ECONOMICA FEDERAL,0,SAO SIMAO / GO (SSM),GO,FIBRA,200
NET WAY INFORMATICA LTDA,,550.00,IP DEDICADO,CAIXA ECONOMICA FEDERAL,0,PIMENTA BUENO / RO (PBW),RO,FIBRA,12
CROSS CONECTION PROVEDOR DE INTERNET LTDA,,550.00,IP DEDICADO,CAIXA ECONOMICA FEDERAL,0,EXTREMA / MG (EXM),MG,FIBRA,12
CROSS CONECTION PROVEDOR DE INTERNET LTDA,,900.00,IP DEDICADO,JSL,0,EXTREMA / MG (EXM),MG,FIBRA,32
GO! TELECOM,,690.00,IP DEDICADO,JSL,0,RIO DE JANEIRO / RJ (RJO),RJ,FIBRA,32
IBL TELECOM (TUCURUI),,500.00,IP DEDICADO,CAIXA ECONOMICA FEDERAL,0,TUCURUI / PA (TUU),PA,FIBRA,12
IBL TELECOM (MARABÁ),,500.00,IP DEDICADO,CAIXA ECONOMICA FEDERAL,0,RONDON DO PARA / PA (RNP),PA,FIBRA,12
IBL TELECOM (MARABÁ),,500.00,IP DEDICADO,CAIXA ECONOMICA FEDERAL,0,MARABA / PA (MBA),PA,FIBRA,12
IBL TELECOM (BRAGANÇA),,500.00,IP DEDICADO,CAIXA ECONOMICA FEDERAL,0,BRAGANCA / PA (BGN),PA,FIBRA,12
BRISANET SERV DE TELEC SA,,300.00,IP DEDICADO,MRV,0,MACEIO / AL (MCO),AL,FIBRA,10
TECHNET,,430.00,IP DEDICADO,JSL,0,GOIANESIA / GO (GNE),GO,FIBRA,32
COMPUNET DO BRASIL TELECOM LTDA,,500.00,IP DEDICADO,ORIGINAL VEiCULOS,0,TAUBATE / SP (TTE),SP,FIBRA,30
LIMA E LIMA SERVIÇOS DE INFORMÁTICA LTDA ME,,400.00,IP DEDICADO,CAIXA ECONOMICA FEDERAL,0,VILHENA / RO (VHA),RO,FIBRA,12
VEXTEL SERVICOS DE TELECOMUNICACOES LTDA,,230.00,IP DEDICADO,AGRO AMAZONIA PRODUTOS AGROPECUARIOS S.A,0,CAMPO NOVO DO PARECIS / MT (CZN),MT,FIBRA,200
B L N DE ALMEIDA SERVICOS DE COMUNICACAO MULTIMIDIA-SCM LTDA,n/a,550.00,IP DEDICADO,CAIXA ECONOMICA FEDERAL,0,CAPITAO POCO / PA (CPC),PA,FIBRA,12
VAGNER LAUDSON A. C. VELASQUES LTDA,,572.00,IP DEDICADO,MPMT,0,ALTO TAQUARI / MT (AOU),MT,FIBRA,20
TELIUM TECNOLOGIA DA INFORMACAO LTDA,,400.00,IP DEDICADO,MRV,0,SAO PAULO / SP (SPO),SP,FIBRA,20
G TURBO TELECOM SERVICOS DE INTERNET LTDA,,800.00,IP DEDICADO,MERCADO LIVRE,0,BIGUACU / SC (BGC),SC,RÁDIO,100
UNIVERSAL TELECOM S.A.,,600.00,IP DEDICADO,Diatom Mineracao Ltda,0,RIO DE JANEIRO / RJ (RJO),RJ,RÁDIO,20
TURBONET PROVEDOR LTDA,,400.00,IP DEDICADO,CAIXA ECONOMICA FEDERAL,0,OURO PRETO DO OESTE / RO (OPO),RO,FIBRA,12
C2M SERVICOS DE INFORMATICA E TELECOMUNICACOES LTDA,,400.00,IP DEDICADO,CAIXA ECONOMICA FEDERAL,0,JI-PARANA / RO (JIP),RO,FIBRA,12
C2M SERVICOS DE INFORMATICA E TELECOMUNICACOES LTDA,,450.00,IP DEDICADO,CAIXA ECONOMICA FEDERAL,0,JI-PARANA / RO (JIP),RO,FIBRA,32
IMPÉRIO NET,,99.00,IP BANDA LARGA,INOVA MACHINES LTDA,0,EMBU DAS ARTES / SP (EMB),SP,FIBRA,400
KHD SILVESTRI CIA LTDA,,420.00,IP DEDICADO,SUL COMBUSTÍVEIS LTDA,0,ARAUCARIA / PR (AUC),PR,FIBRA,30
E DA SILVA PROVEDORES DE TELECOMUNICACOES LTDA,,450.00,IP DEDICADO,CAIXA ECONOMICA FEDERAL,0,MANACAPURU / AM (MPU),AM,FIBRA,32
E DA SILVA PROVEDORES DE TELECOMUNICACOES LTDA,,400.00,IP DEDICADO,CAIXA ECONOMICA FEDERAL,0,MANAUS / AM (MNS),AM,FIBRA,10
HILAN TELECOM LTDA,,220.00,IP DEDICADO,MRV ENGENHARIA E PARTICIPACOES S/A,0,VALPARAISO DE GOIAS / GO (VPIO),GO,FIBRA,22
FLIX TELECOM,,590.00,IP DEDICADO,JSL,0,RESENDE / RJ (RSD),RJ,FIBRA,32
FLIX TELECOM,,590.00,IP DEDICADO,JSL,0,RESENDE / RJ (RSD),RJ,FIBRA,32
FLIX TELECOM,,590.00,IP DEDICADO,JSL,0,RESENDE / RJ (RSD),RJ,FIBRA,32
FLIX TELECOM,,590.00,IP DEDICADO,JSL,0,RESENDE / RJ (RSD),RJ,FIBRA,32
FLIX TELECOM,,590.00,IP DEDICADO,JSL,0,RESENDE / RJ (RSD),RJ,FIBRA,32
RONDON TELECOMUNICACOES LTDA,,400.00,IP DEDICADO,CAIXA ECONOMICA FEDERAL,0,ARIQUEMES / RO (AQS),RO,FIBRA,12
ELO SOLUCOES EMPRESARIAIS LTDA,,1.200.00,IP DEDICADO,SHOPEE,0,HIDROLANDIA / GO (HDD),GO,FIBRA,100
MANALINK PROVEDOR DE INTERNET LTDA,,1.139.00,IP DEDICADO,ELTE,0,CUBATAO / SP (CAO),SP,RÁDIO,20
BRASIL DIGITAL SERVICOS DE INFORMATICA E COMERCIO LTDA,,400.00,IP DEDICADO,CAIXA ECONOMICA FEDERAL,0,CANDEIAS DO JAMARI / RO (CDEY),RO,FIBRA,12
ALARES INTERNET,,550.00,IP DEDICADO,CAIXA ECONOMICA FEDERAL,0,POUSO ALEGRE / MG (PSA),MG,FIBRA,20
ALARES INTERNET,,550.00,IP DEDICADO,CAIXA ECONOMICA FEDERAL,0,ALFENAS / MG (AFN),MG,FIBRA,20
ALARES INTERNET,,550.00,IP DEDICADO,CAIXA ECONOMICA FEDERAL,0,POUSO ALEGRE / MG (PSA),MG,FIBRA,20
ALARES INTERNET,,550.00,IP DEDICADO,CAIXA ECONOMICA FEDERAL,0,POCOS DE CALDAS / MG (PCS),MG,FIBRA,20
ALARES INTERNET,,550.00,IP DEDICADO,CAIXA ECONOMICA FEDERAL,0,ITAJUBA / MG (IJA),MG,FIBRA,20
ALARES INTERNET,,750.00,IP DEDICADO,CAIXA ECONOMICA FEDERAL,0,VARGINHA / MG (VGA),MG,FIBRA,40
UNONET TELECOMUNICACOES LTDA,,650.00,IP DEDICADO,CAIXA ECONOMICA FEDERAL,0,CRUZEIRO DO SUL / AC (CZU),AC,FIBRA,12
UNONET TELECOMUNICACOES LTDA,,510.00,IP DEDICADO,CAIXA ECONOMICA FEDERAL,0,TARAUACA / AC (TAU),AC,FIBRA,12
UNONET TELECOMUNICACOES LTDA,,510.00,IP DEDICADO,CAIXA ECONOMICA FEDERAL,0,FEIJO / AC (FJO),AC,FIBRA,12
SEM FRONTEIRAS TELECOMUNICAÇÕES LTDA,,1.080.00,IP DEDICADO,CAIXA ECONOMICA FEDERAL,0,BUJARI / AC (BJRI),AC,FIBRA,12
ALTA REDE CORPORATE LTDA,,700.00,IP DEDICADO,SHOPEE,0,NOVA FRIBURGO / RJ (NOF),RJ,FIBRA,50
NETMON TELECOM,,490.00,IP DEDICADO,JSL,0,NOVA ERA / MG (NER),MG,FIBRA,50
TUBARON TECNOLOGIAS LTDA,,180.00,IP DEDICADO,GRAZZIOTIN (LINK 2),0,CHARQUEADAS / RS (CQU),RS,FIBRA,12
FORMOSA INTERNET E TELECOMUNICACOES - LTDA,,740.00,IP DEDICADO,JSL,0,FORMOSA / GO (FRM),GO,FIBRA,52
LED INTERNET EIRELI,,1.200.00,IP DEDICADO,MERCADO LIVRE,0,VESPASIANO / MG (VPN),MG,FIBRA,50
INETVIP TELECOM LTDA,,900.00,IP DEDICADO,MERCADO LIVRE,0,VESPASIANO / MG (VPN),MG,FIBRA,50
SIDI SERVICOS DE COMUNICACAO LTDA,,400.00,IP DEDICADO,CAIXA ECONOMICA FEDERAL,0,ITACOATIARA / AM (IOT),AM,FIBRA,12
SIDI SERVICOS DE COMUNICACAO LTDA,,400.00,IP DEDICADO,CAIXA ECONOMICA FEDERAL,0,MAUES / AM (MUS),AM,FIBRA,12
SIDI SERVICOS DE COMUNICACAO LTDA,,400.00,IP DEDICADO,CAIXA ECONOMICA FEDERAL,0,MANAUS / AM (MNS),AM,FIBRA,12
CABONNET INTERNET LTDA,,800.00,IP DEDICADO,MOBLY COMERCIO VAREJISTA LTDA,0,TAUBATE / SP (TTE),SP,FIBRA,105
SIDI SERVICOS DE COMUNICACAO LTDA,,400.00,IP DEDICADO,CAIXA ECONOMICA FEDERAL,0,MANAUS / AM (MNS),AM,FIBRA,12
SIDI SERVICOS DE COMUNICACAO LTDA,,400.00,IP DEDICADO,CAIXA ECONOMICA FEDERAL,0,MANAUS / AM (MNS),AM,FIBRA,12
SOLUCAO NETWORK PROVEDOR LTDA,,179.99,IP BANDA LARGA,PANVEL,0,PARANAVAI / PR (PVA),PR,FIBRA,300
NDX NET SERVICOS DE INFORMATICA LTDA,,400.00,IP DEDICADO,JSL,0,RIO DE JANEIRO / RJ (RJO),RJ,FIBRA,56
SEANET TELECOM CARAZINHO EIRELI ME,,135.00,IP BANDA LARGA,PANVEL,0,NAO-ME-TOQUE / RS (NMT),RS,FIBRA,100
CTINET SOLUCOES EM CONECTIVIDADE E INFORMATICA LTDA,,642.00,IP DEDICADO,SHOPEE,0,SAO PAULO / SP (SPO),SP,FIBRA,50
CTINET SOLUCOES EM CONECTIVIDADE E INFORMATICA LTDA,,642.00,IP DEDICADO,SHOPEE,0,SAO PAULO / SP (SPO),SP,FIBRA,50
MUNDIVOX,,500.00,IP DEDICADO,6470 Servicos Agencia de Viagens (CVC Shopping Analia Franco),0,SAO PAULO / SP (SPO),SP,FIBRA,20
AGE TELECOMUNICACOES LTDA,,99.00,IP BANDA LARGA,DROPS,0,BRASILIA / DF (BSA),DF,FIBRA,600
DEBIAN SIGNAL COMUNICACAO MULTIMIDIA LTDA,,1.750.00,IP DEDICADO,USINA PAULISTA LAVRINHAS DE ENERGIA SA,0,LAVRINHAS / SP (LVN),SP,FIBRA,50
NDX NET SERVICOS DE INFORMATICA LTDA,,350.00,IP DEDICADO,JSL,0,RIO DE JANEIRO / RJ (RJO),RJ,RÁDIO,40
Fibra Prime Serviços de Telecomunicações Ltda,,600.00,IP DEDICADO,JSL,0,CATANDUVA / SP (CTD),SP,FIBRA,50
ACL SERVICOS DE COMUNICACAO LTDA,,280.00,IP DEDICADO,PANVEL,0,JARAGUA DO SUL / SC (JGS),SC,FIBRA,35
VERO S.A.,,400.00,IP DEDICADO,FRUKI,0,BIGUACU / SC (BGC),SC,FIBRA,50
MUNDIVOX,,500.00,IP DEDICADO,SODEXO,0,CAJAMAR / SP (CJR),SP,FIBRA,60
LINK CARIOCA LTDA,,380.00,IP DEDICADO,JSL,0,RIO DE JANEIRO / RJ (RJO),RJ,FIBRA,35
MAGNOS A BOTH & CIA LTDA,,160.00,IP DEDICADO,OI BANRISUL,0,PORTO VERA CRUZ / RS (PVCZ),RS,FIBRA,100
DB3 SERVICOS DE TELECOMUNICACOES S.A,,330.00,IP DEDICADO,JSL,0,MACAE / RJ (MCE),RJ,FIBRA,40
DB3 SERVICOS DE TELECOMUNICACOES S.A,,330.00,IP DEDICADO,JSL,0,NOVA FRIBURGO / RJ (NOF),RJ,FIBRA,40
DB3 SERVICOS DE TELECOMUNICACOES S.A,,330.00,IP DEDICADO,JSL,0,RESENDE / RJ (RSD),RJ,FIBRA,40
SITECNET INFORMATICA LTDA,,900.00,IP DEDICADO,MERCADO LIVRE,0,BAYEUX / PB (BEX),PB,FIBRA,50
CONECTA NET INFORMATICA LTDA.,,499.90,IP DEDICADO,JSL,0,NOVA LIMA / MG (NLA),MG,FIBRA,32
ALLREDE PARTICIPACOES LTDA,,680.00,IP DEDICADO,JSL,0,SILVANIA / GO (SVA),GO,FIBRA,32
ALLREDE PARTICIPACOES LTDA,,400.00,IP DEDICADO,JSL,0,RIO VERDE / GO (RVD),GO,FIBRA,52
NORTE TELECOM PROVEDOR DE INTERNET LTDA,,650.00,IP DEDICADO,JSL,0,PARAUAPEBAS / PA (PUP),PA,FIBRA,32
NORTE TELECOM PROVEDOR DE INTERNET LTDA,,650.00,IP DEDICADO,JSL,0,PARAUAPEBAS / PA (PUP),PA,FIBRA,32
NORTE TELECOM PROVEDOR DE INTERNET LTDA,,650.00,IP DEDICADO,JSL,0,PARAUAPEBAS / PA (PUP),PA,FIBRA,32
SPEED CONECTE SERVICOS DE INTERNET LTDA,,300.00,IP DEDICADO,MPMT,0,SAPEZAL / MT (SPZL),MT,FIBRA,50
NETWAY TELEC LTDA,,650.00,IP DEDICADO,SHOPEE,0,JACAREPAGUA,RJ,FIBRA,60
EBR INTERNET LTDA,,700.00,IP DEDICADO,SHOPEE,0,SERRA / ES (SEA),ES,FIBRA,60
TELIUM TECNOLOGIA DA INFORMACAO LTDA,,550.00,IP DEDICADO,CS BRASIL TRANSP,0,SAO PAULO / SP (SPO),SP,RÁDIO,12
ULTRANET TELECOMUNICACOES LTDA,,75.00,IP BANDA LARGA,DIRECIONAL,0,SAO PAULO / SP (SPO),SP,FIBRA,100
ULTRANET TELECOMUNICACOES LTDA,,760.00,IP DEDICADO,DIRECIONAL,0,SAO PAULO / SP (SPO),SP,FIBRA,110
