Nome Provedor,IP Fixo,Valor Mensal (C/IMP) (R$),Serviço,Cliente Final,Vigência em (Meses),Cidade A,UF A,Interface,Capacidade (MB)
OPEN IT GROUP TECNOLOGIA COMUNIC E DESENV DE SOFTWARE LTDA,0,499.00,IP DEDICADO,DHL Logistics (Brazil) Itupeva Reckit,0,ITUPEVA / SP (ITV),SP,FIBRA,10
NETFLOW ENGENHARIA LTDA,32,600.00,IP DEDICADO,DIRECIONAL ENGENHARIA S/A,12,Rio de Janeiro,RJ,FIBRA,20
BRASIL DIGITAL TELECOMUNICACOES LTDA,,635.00,L2L LAST MILE,DIAGNOSTICOS DA AMERICA S.A,24,,,,
BRASIL DIGITAL TELECOMUNICACOES LTDA,,635.00,L2L LAST MILE,DIAGNOSTICOS DA AMERICA S.A,24,Rio de Janeiro,RJ,FIBRA,100
UNIFIQUE TELECOMUNICACOES S/A,20,275.00,IP DEDICADO,DIMED/PANVEL,0,BLUMENAU / SC (BNU),SC,FIBRA,10
SEMPRE TELECOMUNICACOES LTDA,,0.01,L2L LAST MILE,SHOPEE,12,Contagem,MG,FIBRA,300
BTT TELECOMUNICACOES S.A.,,0.01,L2L LAST MILE,SHOPEE,12,Contagem,MG,FIBRA,300
B R A SERVICOS DE COMUNICACAO LTDA,30,450.00,IP DEDICADO,CEVA VETERINARIA,36,Campinas,SP,FIBRA,35
SKYNET PRESTACAO DE SERVICOS DE COMUNICACAO MULTIMIDIA LTDA,29,1.250.00,IP DEDICADO,SHOPEE,12,Guarulhos,SP,FIBRA,110
BTT TELECOMUNICACOES S.A.,N/A,0.01,L2L LAST MILE | IP DEDICADO,DASA,24,BELO HORIZONTE,MG,FIBRA,20
NETULTRA TELECOM LTDA,n/a,900.00,IP DEDICADO | L2L  LAST MILE,DEFENSORIA PÚBLICA MT,12,Apiacas,MT,FIBRA,100
IDL TELECOMUNICACOES LTDA,0,169.90,IP BANDA LARGA,CAIXA ECONOMICA FEDERAL,0,SALINAS / MG (SLN),MG,FIBRA,350
AKIN DIGITAL INTERNET LTDA,29,990.00,IP DEDICADO,SHOPEE,12,Duque de Caxias,RJ,RÁDIO,300
G2NET SUL PROVEDOR LTDA,n/a,920.00,L2L LAST MILE,FABRICA DE MOVEIS FLORENSE LTDA,12,Flores da Cunha,RS,FIBRA,1000
ALGAR SOLUCOES EM TIC S/A,0,90.00,IP BANDA LARGA,BANCO DO BRASIL,0,FLORIANOPOLIS / SC (FNS),SC,FIBRA,100
ALGAR SOLUCOES EM TIC S/A,0,90.00,IP BANDA LARGA,BANCO DO BRASIL,0,LAGES / SC (LGS),SC,FIBRA,100
ALGAR SOLUCOES EM TIC S/A,0,90.00,IP BANDA LARGA,BANCO DO BRASIL,0,SALVADOR / BA (SDR),BA,FIBRA,100
ALGAR SOLUCOES EM TIC S/A,0,90.00,IP BANDA LARGA,BANCO DO BRASIL,0,MACEIO / AL (MCO),AL,FIBRA,100
SIDI SERVICOS DE COMUNICACAO LTDA,n/a,130.00,IP BANDA LARGA,BANCO DO BRASIL,60,Tabatinga,AM,FIBRA,50
SIDI SERVICOS DE COMUNICACAO LTDA,n/a,130.00,IP BANDA LARGA,BANCO DO BRASIL,60,Benjamin Constant,AM,FIBRA,50
SIDI SERVICOS DE COMUNICACAO LTDA,n/a,130.00,IP BANDA LARGA,BANCO DO BRASIL,60,São Gabriel da Cachoeira,AM,FIBRA,50
SIDI SERVICOS DE COMUNICACAO LTDA,n/a,130.00,IP BANDA LARGA,BANCO DO BRASIL,60,São Gabriel da Cachoeira,AM,FIBRA,50
MANTIQUEIRA TECNOLOGIA,0,300.00,IP DEDICADO,CAIXA ECONOMICA FEDERAL,0,ITANHANDU / MG (ITD),MG,FIBRA,10
RAIMAX INTERNET LTDA.,0,300.00,IP DEDICADO,CAIXA ECONOMICA FEDERAL,0,SAO LOURENCO / MG (SAL),MG,FIBRA,10
ACESSE COMUNICACAO LTDA,0,200.00,IP BANDA LARGA,CAIXA ECONOMICA FEDERAL,0,ESPERA FELIZ / MG (EEF),MG,FIBRA,100
NEOVIA SOLUTIONS BRASIL SERVICOS DE LOGISTICA LTDA.,30,950.00,IP DEDICADO,MERCADO LIVRE,36,Itupeva,SP,RÁDIO,100
PICCININ COMPUTADORES E TELEFONIA LTDA,30,600.00,IP DEDICADO,SICREDI,36,FAXINAL DO SOTURNO,RS,FIBRA,50
